"order_id","day_to_ship"
1,"2"
2,"2"
3,"1"
4,"2"
5,"3"
6,"1"
7,"1"
8,"1"
9,"3"
10,"1"
11,"2"
12,"3"
13,"3"
14,"3"
15,"3"
16,"3"
17,"2"
18,"1"
19,"2"
20,"3"
21,"3"
22,"1"
23,"3"
24,"1"
25,"3"
26,"1"
27,"1"
28,"2"
29,"1"
30,"1"
31,"2"
32,"1"
33,"1"
34,"1"
35,"2"
36,"1"
37,"1"
38,"1"
39,"1"
40,"2"
41,"2"
42,"3"
43,"3"
44,"2"
45,"3"
46,"2"
47,"2"
48,"3"
49,"2"
50,"2"
51,"2"
52,"2"
53,"2"
54,"3"
55,"2"
56,"3"
57,"2"
58,"2"
59,"1"
60,"1"
61,"3"
62,"3"
63,"2"
64,"2"
65,"3"
66,"3"
67,"1"
68,"3"
69,"1"
70,NULL
71,"1"
72,"1"
73,"2"
74,"2"
75,"3"
76,NULL
77,"3"
78,"3"
79,"3"
80,"2"
81,"1"
82,"2"
83,"1"
84,"1"
85,"1"
86,"2"
87,"2"
88,"2"
89,"3"
90,"1"
91,"3"
92,"3"
93,"1"
94,"2"
95,"1"
96,"1"
97,"2"
98,"1"
99,"3"
100,"2"
101,"3"
102,"1"
103,"2"
104,"2"
105,"1"
106,"1"
107,"3"
108,"1"
109,"3"
110,"3"
111,"3"
112,"2"
113,"3"
114,"3"
115,"2"
116,"1"
117,"1"
118,"1"
119,"2"
120,"3"
121,"2"
122,"1"
123,"2"
124,"1"
125,"1"
126,"2"
127,"2"
128,"3"
129,"2"
130,"1"
131,"1"
132,"3"
133,"1"
134,"1"
135,"2"
136,"2"
137,"2"
138,"2"
139,"3"
140,"3"
141,"1"
142,"1"
143,"2"
144,"3"
145,"3"
146,"2"
147,"3"
148,"2"
149,"1"
150,"3"
151,"2"
152,"1"
153,"2"
154,"1"
155,"2"
156,"2"
157,"3"
158,NULL
159,"2"
160,"2"
161,"1"
162,"1"
163,"1"
164,"2"
165,"2"
166,"3"
167,"3"
168,"2"
169,"1"
170,"3"
171,"3"
172,"3"
173,"2"
174,"3"
175,"1"
176,"2"
177,"3"
