"order_id","total_items"
1489,"4"
1269,"4"
652,"7"
273,"1"
1560,"3"
51,"4"
1587,"7"
1091,"3"
951,"5"
839,"4"
70,"4"
1075,"4"
350,"4"
758,"7"
539,"5"
1108,"4"
1128,"4"
1284,"4"
874,"6"
278,"6"
1136,"1"
946,"8"
176,"6"
1494,"6"
576,"1"
1003,"4"
1045,"3"
292,"5"
1331,"5"
929,"4"
663,"7"
1307,"6"
770,"5"
1552,"3"
1589,"5"
271,"7"
22,"3"
1558,"6"
1493,"1"
417,"4"
1373,"1"
764,"5"
556,"3"
1175,"6"
529,"2"
1268,"7"
638,"4"
791,"3"
775,"1"
940,"2"
390,"4"
173,"4"
1018,"5"
42,"1"
1263,"4"
189,"2"
876,"7"
161,"5"
113,"8"
1431,"4"
1595,"1"
1372,"3"
632,"7"
658,"4"
120,"9"
1289,"2"
802,"5"
578,"7"
815,"7"
695,"4"
1422,"5"
440,"4"
1415,"6"
1004,"2"
794,"5"
57,"5"
1313,"3"
19,"3"
160,"6"
644,"1"
1510,"8"
824,"2"
1368,"4"
508,"6"
1262,"5"
1194,"6"
357,"6"
1143,"4"
1463,"3"
769,"5"
266,"4"
1550,"8"
1287,"7"
315,"2"
1162,"7"
366,"4"
307,"2"
841,"7"
1030,"4"
91,"6"
1614,"5"
1239,"6"
803,"6"
305,"4"
54,"3"
1606,"2"
181,"6"
1312,"4"
743,"1"
1484,"6"
10,"1"
35,"7"
963,"1"
220,"7"
1602,"7"
1278,"3"
823,"5"
822,"2"
400,"5"
1118,"6"
1025,"6"
241,"1"
175,"6"
1007,"7"
596,"4"
285,"4"
50,"5"
13,"7"
1319,"2"
1266,"2"
391,"5"
1104,"5"
487,"1"
2,"3"
699,"8"
1603,"2"
246,"2"
75,"4"
1190,"1"
128,"8"
714,"2"
344,"4"
906,"9"
1321,"4"
909,"1"
745,"5"
1078,"9"
534,"7"
152,"6"
1522,"3"
1216,"7"
1049,"7"
428,"3"
637,"3"
355,"3"
1279,"2"
1403,"2"
747,"5"
222,"3"
1006,"6"
1324,"5"
1008,"3"
777,"4"
164,"5"
1098,"1"
1325,"4"
922,"3"
453,"4"
787,"4"
186,"2"
1548,"4"
501,"6"
750,"3"
545,"6"
182,"4"
977,"7"
18,"8"
1507,"8"
528,"2"
27,"5"
1549,"6"
811,"5"
563,"5"
143,"1"
496,"4"
58,"4"
1474,"2"
228,"7"
1613,"3"
667,"5"
814,"6"
668,"4"
850,"5"
294,"6"
481,"6"
926,"2"
645,"8"
1009,"3"
1460,"7"
607,"5"
438,"6"
382,"3"
258,"5"
853,"7"
378,"2"
1546,"5"
483,"1"
1349,"7"
1050,"8"
84,"4"
799,"9"
276,"5"
1523,"2"
646,"5"
1259,"2"
1044,"2"
379,"2"
320,"1"
1062,"5"
942,"8"
115,"2"
1458,"6"
97,"6"
108,"5"
59,"4"
589,"2"
1535,"3"
127,"4"
1285,"6"
1167,"5"
555,"4"
1583,"3"
682,"4"
567,"2"
329,"8"
44,"2"
1144,"1"
816,"4"
1585,"7"
1447,"1"
1398,"3"
676,"5"
153,"4"
1022,"4"
