"customer_id","number_of_orders","total_spent"
9,"3","24433.88"
1,"3","27888.19"
46,"3","8902.50"
24,"3","14199.96"
3,"3","24051.53"
66,"3","23026.29"
40,"3","17240.56"
61,"3","25636.46"
43,"3","23049.06"
18,"3","14877.29"
5,"3","17520.29"
21,"3","17123.99"
47,"3","16935.64"
7,"3","7147.16"
10,"3","33634.26"
33,"3","19043.90"
50,"3","16179.11"
16,"3","31925.89"
6,"3","32675.07"
20,"3","11102.46"
8,"3","2201.65"
31,"3","19756.64"
30,"3","10355.38"
32,"3","18037.28"
53,"3","14068.23"
13,"3","14774.45"
77,"3","8522.95"
17,"3","5275.33"
4,"3","21150.89"
14,"3","15766.70"
68,"3","10802.63"
15,"3","9586.80"
56,"3","6680.44"
64,"3","8778.13"
2,"3","19329.09"
12,"3","24305.13"
116,"3","12793.64"
19,"3","16739.99"
11,"3","3690.23"
71,"2","1855.33"
87,"2","13546.95"
85,"2","23195.08"
81,"2","5660.94"
80,"2","9563.34"
54,"2","17225.44"
138,"2","12010.49"
34,"2","11035.76"
44,"2","2270.53"
175,"2","13023.92"
172,"2","15841.10"
36,"2","6079.94"
119,"2","16764.12"
62,"2","4122.14"
181,"2","8273.95"
194,"2","12320.12"
237,"2","2007.58"
86,"2","12552.00"
165,"2","11907.90"
104,"2","11776.41"
84,"2","7154.54"
151,"2","6863.62"
153,"2","17068.50"
23,"2","4775.96"
52,"2","6467.65"
57,"2","6981.94"
58,"2","21514.46"
90,"2","8956.78"
231,"2","12861.87"
123,"2","13783.78"
67,"2","1472.47"
25,"2","14529.26"
170,"2","13801.30"
176,"2","6829.71"
26,"2","9514.07"
124,"2","6235.54"
192,"2","14208.38"
72,"2","13914.33"
39,"2","17783.49"
224,"2","11471.90"
88,"2","9805.25"
188,"2","1729.77"
69,"2","7568.93"
169,"2","13678.36"
82,"2","18995.02"
240,"2","9959.09"
157,"2","17861.20"
92,"2","3037.13"
35,"2","22061.08"
79,"2","16025.08"
109,"2","17193.91"
55,"2","4183.62"
120,"2","9425.16"
37,"2","14011.83"
117,"2","2371.45"
42,"2","9205.11"
97,"2","6450.95"
91,"2","18856.87"
28,"2","19992.87"
59,"2","13854.60"
208,"2","5651.02"
135,"2","12026.95"
38,"2","21535.66"
51,"2","7000.06"
78,"2","3441.26"
191,"2","2593.13"
60,"2","9919.33"
22,"2","16651.05"
187,"2","13611.63"
94,"2","34807.93"
233,"2","2317.08"
217,"2","5073.03"
41,"2","3962.03"
73,"2","31913.69"
49,"2","1571.17"
83,"2","7793.15"
63,"2","20086.38"
48,"2","11705.85"
75,"2","32803.01"
121,"2","3589.12"
239,"2","10156.90"
93,"2","25612.71"
76,"2","7168.48"
89,"2","10805.33"
65,"2","11151.60"
74,"2","4036.97"
70,"2","16338.93"
136,"2","15314.02"
27,"2","10719.10"
45,"2","3347.65"
29,"2","11979.95"
110,"2","5371.34"
922,"1","6978.72"
787,"1","7575.35"
186,"1","9833.65"
501,"1","712.49"
750,"1","1307.62"
182,"1","17746.60"
545,"1","7782.87"
977,"1","3328.06"
528,"1","845.98"
143,"1","3920.66"
811,"1","1863.97"
563,"1","1703.68"
496,"1","8056.77"
228,"1","674.99"
667,"1","2827.95"
668,"1","2100.92"
814,"1","1754.05"
850,"1","104.49"
294,"1","1208.48"
481,"1","6947.95"
645,"1","3818.29"
926,"1","926.09"
1009,"1","314.99"
607,"1","17580.72"
382,"1","861.01"
438,"1","1455.97"
258,"1","437.09"
853,"1","7601.15"
378,"1","464.99"
483,"1","1519.20"
1349,"1","9278.65"
1050,"1","480.59"
799,"1","2873.94"
276,"1","6866.94"
646,"1","6468.23"
1259,"1","5270.94"
1044,"1","1041.58"
379,"1","6671.60"
320,"1","10047.42"
942,"1","1499.97"
1062,"1","4477.17"
115,"1","8327.95"
108,"1","18281.47"
589,"1","1512.89"
127,"1","6034.97"
1167,"1","3126.64"
1285,"1","2881.14"
555,"1","4654.95"
682,"1","4799.98"
567,"1","5579.96"
329,"1","9499.98"
1144,"1","6187.15"
816,"1","1669.98"
1398,"1","7688.27"
676,"1","512.98"
778,"1","8481.90"
1022,"1","440.99"
507,"1","3022.87"
944,"1","1964.08"
214,"1","3032.74"
847,"1","836.98"
419,"1","1613.39"
1336,"1","269.99"
664,"1","1272.78"
551,"1","642.54"
532,"1","527.98"
1170,"1","1210.27"
945,"1","4814.63"
95,"1","12433.46"
948,"1","6793.97"
1371,"1","1734.93"
1434,"1","1530.96"
259,"1","10231.05"
519,"1","2747.24"
1203,"1","3818.21"
965,"1","4781.93"
1250,"1","2083.16"
409,"1","728.97"
840,"1","15097.91"
521,"1","3998.36"
1378,"1","4776.04"
1038,"1","1805.97"
324,"1","2165.08"
936,"1","2411.47"
981,"1","1022.98"
921,"1","1328.65"
1334,"1","5024.16"
1221,"1","989.98"
1227,"1","7587.52"
249,"1","723.89"
255,"1","10269.86"
1126,"1","6718.55"
1295,"1","5022.96"
1217,"1","2133.93"
639,"1","2420.55"
296,"1","13773.63"
209,"1","1127.99"
984,"1","6335.66"
937,"1","3865.77"
1249,"1","7520.04"
868,"1","1311.29"
418,"1","593.99"
947,"1","1082.97"
978,"1","1064.68"
761,"1","3546.93"
1411,"1","4960.46"
1229,"1","2707.83"
972,"1","6396.96"
407,"1","7719.96"
1084,"1","8303.37"
904,"1","14397.14"
443,"1","4685.10"
387,"1","1367.98"
1337,"1","773.98"
690,"1","12104.79"
526,"1","4422.94"
1209,"1","4778.02"
393,"1","2379.97"
1428,"1","674.99"
524,"1","5017.86"
312,"1","5419.97"
1151,"1","7139.95"
498,"1","3238.96"
862,"1","5835.86"
1185,"1","2801.93"
469,"1","3511.74"
494,"1","1494.96"
683,"1","879.98"
118,"1","3974.63"
608,"1","502.18"
317,"1","1543.76"
793,"1","7327.04"
1265,"1","3359.75"
702,"1","6762.14"
488,"1","6259.27"
126,"1","10314.92"
1101,"1","4196.96"
1048,"1","6319.95"
360,"1","6448.29"
463,"1","10266.95"
99,"1","5431.90"
476,"1","1394.98"
883,"1","13107.44"
629,"1","1754.15"
726,"1","7176.21"
374,"1","14735.42"
1146,"1","512.98"
1215,"1","5745.96"
1210,"1","2705.01"
719,"1","1006.98"
756,"1","4318.45"
318,"1","1662.05"
933,"1","1708.37"
647,"1","1353.75"
354,"1","7179.98"
