"store_name","product_name","category_name","model_year","quantity","list_price"
"Santa Cruz Bikes","Trek 820 - 2016","Mountain Bikes",2016,27,"379.99"
"Santa Cruz Bikes","Ritchey Timberwolf Frameset - 2016","Mountain Bikes",2016,5,"749.99"
"Santa Cruz Bikes","Surly Wednesday Frameset - 2016","Mountain Bikes",2016,6,"999.99"
"Santa Cruz Bikes","Trek Fuel EX 8 29 - 2016","Mountain Bikes",2016,23,"2899.99"
"Santa Cruz Bikes","Heller Shagamaw Frame - 2016","Mountain Bikes",2016,22,"1320.99"
"Santa Cruz Bikes","Surly Ice Cream Truck Frameset - 2016","Mountain Bikes",2016,0,"469.99"
"Santa Cruz Bikes","Trek Slash 8 27.5 - 2016","Mountain Bikes",2016,8,"3999.99"
"Santa Cruz Bikes","Trek Remedy 29 Carbon Frameset - 2016","Mountain Bikes",2016,0,"1799.99"
"Santa Cruz Bikes","Trek Conduit+ - 2016","Electric Bikes",2016,11,"2999.99"
"Santa Cruz Bikes","Surly Straggler - 2016","Cyclocross Bicycles",2016,15,"1549.00"
"Santa Cruz Bikes","Surly Straggler 650b - 2016","Cyclocross Bicycles",2016,8,"1680.99"
"Santa Cruz Bikes","Electra Townie Original 21D - 2016","Cruisers Bicycles",2016,16,"549.99"
"Santa Cruz Bikes","Electra Cruiser 1 (24-Inch) - 2016","Cruisers Bicycles",2016,13,"269.99"
"Santa Cruz Bikes","Electra Girl's Hawaii 1 (16-inch) - 2015/2016","Cruisers Bicycles",2016,8,"269.99"
"Santa Cruz Bikes","Electra Moto 1 - 2016","Cruisers Bicycles",2016,3,"529.99"
"Santa Cruz Bikes","Electra Townie Original 7D EQ - 2016","Cruisers Bicycles",2016,4,"599.99"
"Santa Cruz Bikes","Pure Cycles Vine 8-Speed - 2016","Cruisers Bicycles",2016,2,"429.00"
"Santa Cruz Bikes","Pure Cycles Western 3-Speed - Women's - 2015/2016","Cruisers Bicycles",2016,16,"449.00"
"Santa Cruz Bikes","Pure Cycles William 3-Speed - 2016","Cruisers Bicycles",2016,4,"449.00"
"Santa Cruz Bikes","Electra Townie Original 7D EQ - Women's - 2016","Cruisers Bicycles",2016,26,"599.99"
"Santa Cruz Bikes","Electra Cruiser 1 (24-Inch) - 2016","Children Bicycles",2016,24,"269.99"
"Santa Cruz Bikes","Electra Girl's Hawaii 1 (16-inch) - 2015/2016","Children Bicycles",2016,29,"269.99"
"Santa Cruz Bikes","Electra Girl's Hawaii 1 (20-inch) - 2015/2016","Children Bicycles",2016,9,"299.99"
"Santa Cruz Bikes","Electra Townie Original 21D - 2016","Comfort Bicycles",2016,10,"549.99"
"Santa Cruz Bikes","Electra Townie Original 7D - 2015/2016","Comfort Bicycles",2016,10,"499.99"
"Santa Cruz Bikes","Electra Townie Original 7D EQ - 2016","Comfort Bicycles",2016,16,"599.99"
"Santa Cruz Bikes","Surly Big Dummy Frameset - 2017","Mountain Bikes",2017,21,"999.99"
"Santa Cruz Bikes","Surly Karate Monkey 27.5+ Frameset - 2017","Mountain Bikes",2017,20,"2499.99"
"Santa Cruz Bikes","Trek X-Caliber 8 - 2017","Mountain Bikes",2017,13,"999.99"
"Santa Cruz Bikes","Surly Ice Cream Truck Frameset - 2017","Mountain Bikes",2017,30,"999.99"
"Santa Cruz Bikes","Surly Wednesday - 2017","Mountain Bikes",2017,2,"1632.99"
"Santa Cruz Bikes","Trek Farley Alloy Frameset - 2017","Mountain Bikes",2017,0,"469.99"
"Santa Cruz Bikes","Surly Wednesday Frameset - 2017","Mountain Bikes",2017,10,"469.99"
"Santa Cruz Bikes","Trek Session DH 27.5 Carbon Frameset - 2017","Mountain Bikes",2017,2,"469.99"
"Santa Cruz Bikes","Sun Bicycles Spider 3i - 2017","Mountain Bikes",2017,18,"832.99"
"Santa Cruz Bikes","Surly Troll Frameset - 2017","Mountain Bikes",2017,26,"832.99"
"Santa Cruz Bikes","Haro Flightline One ST - 2017","Mountain Bikes",2017,12,"379.99"
"Santa Cruz Bikes","Haro Flightline Two 26 Plus - 2017","Mountain Bikes",2017,13,"549.99"
"Santa Cruz Bikes","Trek Stache 5 - 2017","Mountain Bikes",2017,2,"1499.99"
"Santa Cruz Bikes","Trek Fuel EX 9.8 29 - 2017","Mountain Bikes",2017,24,"4999.99"
"Santa Cruz Bikes","Haro Shift R3 - 2017","Mountain Bikes",2017,10,"1469.99"
"Santa Cruz Bikes","Trek Fuel EX 5 27.5 Plus - 2017","Mountain Bikes",2017,0,"2299.99"
"Santa Cruz Bikes","Trek Fuel EX 9.8 27.5 Plus - 2017","Mountain Bikes",2017,2,"5299.99"
"Santa Cruz Bikes","Haro SR 1.1 - 2017","Mountain Bikes",2017,1,"539.99"
"Santa Cruz Bikes","Haro SR 1.2 - 2017","Mountain Bikes",2017,15,"869.99"
"Santa Cruz Bikes","Haro SR 1.3 - 2017","Mountain Bikes",2017,19,"1409.99"
"Santa Cruz Bikes","Trek Remedy 9.8 - 2017","Mountain Bikes",2017,21,"5299.99"
"Santa Cruz Bikes","Trek Emonda S 4 - 2017","Road Bikes",2017,5,"1499.99"
"Santa Cruz Bikes","Trek Domane SL 6 - 2017","Road Bikes",2017,8,"3499.99"
"Santa Cruz Bikes","Trek Silque SLR 7 Women's - 2017","Road Bikes",2017,29,"5999.99"
"Santa Cruz Bikes","Trek Silque SLR 8 Women's - 2017","Road Bikes",2017,2,"6499.99"
"Santa Cruz Bikes","Surly Steamroller - 2017","Road Bikes",2017,18,"875.99"
"Santa Cruz Bikes","Surly Ogre Frameset - 2017","Road Bikes",2017,17,"749.99"
"Santa Cruz Bikes","Trek Domane SL Disc Frameset - 2017","Road Bikes",2017,11,"3199.99"
"Santa Cruz Bikes","Trek Domane S 6 - 2017","Road Bikes",2017,11,"2699.99"
"Santa Cruz Bikes","Trek Domane SLR 6 Disc - 2017","Road Bikes",2017,15,"5499.99"
"Santa Cruz Bikes","Trek Emonda S 5 - 2017","Road Bikes",2017,1,"1999.99"
"Santa Cruz Bikes","Trek Madone 9.2 - 2017","Road Bikes",2017,1,"4999.99"
"Santa Cruz Bikes","Trek Domane S 5 Disc - 2017","Road Bikes",2017,22,"2599.99"
"Santa Cruz Bikes","Sun Bicycles ElectroLite - 2017","Electric Bikes",2017,19,"1559.99"
"Santa Cruz Bikes","Trek Powerfly 8 FS Plus - 2017","Electric Bikes",2017,30,"4999.99"
"Santa Cruz Bikes","Trek Boone 7 - 2017","Cyclocross Bicycles",2017,21,"3499.99"
"Santa Cruz Bikes","Trek Boone Race Shop Limited - 2017","Cyclocross Bicycles",2017,4,"3499.99"
"Santa Cruz Bikes","Electra Townie Original 7D - 2017","Cruisers Bicycles",2017,30,"489.99"
"Santa Cruz Bikes","Sun Bicycles Lil Bolt Type-R - 2017","Cruisers Bicycles",2017,10,"346.99"
"Santa Cruz Bikes","Sun Bicycles Revolutions 24 - 2017","Cruisers Bicycles",2017,12,"250.99"
"Santa Cruz Bikes","Sun Bicycles Revolutions 24 - Girl's - 2017","Cruisers Bicycles",2017,19,"250.99"
"Santa Cruz Bikes","Sun Bicycles Cruz 3 - 2017","Cruisers Bicycles",2017,30,"449.99"
"Santa Cruz Bikes","Sun Bicycles Cruz 7 - 2017","Cruisers Bicycles",2017,4,"416.99"
"Santa Cruz Bikes","Electra Amsterdam Original 3i - 2015/2017","Cruisers Bicycles",2017,3,"659.99"
"Santa Cruz Bikes","Sun Bicycles Atlas X-Type - 2017","Cruisers Bicycles",2017,25,"416.99"
"Santa Cruz Bikes","Sun Bicycles Biscayne Tandem 7 - 2017","Cruisers Bicycles",2017,9,"619.99"
"Santa Cruz Bikes","Sun Bicycles Brickell Tandem 7 - 2017","Cruisers Bicycles",2017,7,"749.99"
"Santa Cruz Bikes","Electra Cruiser Lux 1 - 2017","Cruisers Bicycles",2017,9,"439.99"
"Santa Cruz Bikes","Electra Cruiser Lux Fat Tire 1 Ladies - 2017","Cruisers Bicycles",2017,23,"599.99"
"Santa Cruz Bikes","Electra Girl's Hawaii 1 16 - 2017","Cruisers Bicycles",2017,15,"299.99"
"Santa Cruz Bikes","Electra Glam Punk 3i Ladies' - 2017","Cruisers Bicycles",2017,16,"799.99"
"Santa Cruz Bikes","Sun Bicycles Biscayne Tandem CB - 2017","Cruisers Bicycles",2017,13,"647.99"
"Santa Cruz Bikes","Sun Bicycles Boardwalk (24-inch Wheels) - 2017","Cruisers Bicycles",2017,13,"402.99"
"Santa Cruz Bikes","Sun Bicycles Brickell Tandem CB - 2017","Cruisers Bicycles",2017,11,"761.99"
"Santa Cruz Bikes","Electra Amsterdam Fashion 7i Ladies' - 2017","Cruisers Bicycles",2017,25,"1099.99"
"Santa Cruz Bikes","Electra Amsterdam Original 3i Ladies' - 2017","Cruisers Bicycles",2017,1,"659.99"
"Santa Cruz Bikes","Trek Boy's Kickster - 2015/2017","Children Bicycles",2017,13,"149.99"
"Santa Cruz Bikes","Sun Bicycles Lil Kitt'n - 2017","Children Bicycles",2017,11,"109.99"
"Santa Cruz Bikes","Haro Downtown 16 - 2017","Children Bicycles",2017,23,"329.99"
"Santa Cruz Bikes","Trek Girl's Kickster - 2017","Children Bicycles",2017,19,"149.99"
"Santa Cruz Bikes","Trek Precaliber 12 Boys - 2017","Children Bicycles",2017,27,"189.99"
"Santa Cruz Bikes","Trek Precaliber 12 Girls - 2017","Children Bicycles",2017,7,"189.99"
"Santa Cruz Bikes","Trek Precaliber 16 Boys - 2017","Children Bicycles",2017,9,"209.99"
"Santa Cruz Bikes","Trek Precaliber 16 Girls - 2017","Children Bicycles",2017,4,"209.99"
"Santa Cruz Bikes","Trek Precaliber 24 (21-Speed) - Girls - 2017","Children Bicycles",2017,8,"349.99"
"Santa Cruz Bikes","Haro Shredder 20 - 2017","Children Bicycles",2017,0,"209.99"
"Santa Cruz Bikes","Haro Shredder 20 Girls - 2017","Children Bicycles",2017,22,"209.99"
"Santa Cruz Bikes","Haro Shredder Pro 20 - 2017","Children Bicycles",2017,6,"249.99"
"Santa Cruz Bikes","Electra Girl's Hawaii 1 16 - 2017","Children Bicycles",2017,25,"299.99"
"Santa Cruz Bikes","Electra Moto 3i (20-inch) - Boy's - 2017","Children Bicycles",2017,20,"349.99"
"Santa Cruz Bikes","Electra Savannah 3i (20-inch) - Girl's - 2017","Children Bicycles",2017,20,"349.99"
"Santa Cruz Bikes","Electra Straight 8 3i (20-inch) - Boy's - 2017","Children Bicycles",2017,28,"489.99"
"Santa Cruz Bikes","Electra Sugar Skulls 1 (20-inch) - Girl's - 2017","Children Bicycles",2017,28,"299.99"
"Santa Cruz Bikes","Electra Townie 3i EQ (20-inch) - Boys' - 2017","Children Bicycles",2017,15,"489.99"
